,0,1,2,3
0,30.69,32.05,10.62,
1,30.69,32.05,10.62,
2,30.69,32.05,10.62,
3,30.69,32.05,10.62,
4,30.69,32.05,10.62,
5,30.69,32.05,10.62,
6,30.69,32.05,10.62,
7,30.69,32.05,10.62,
8,30.69,32.05,10.62,
9,30.69,32.05,10.62,
10,30.69,32.05,10.62,
11,30.69,32.05,10.62,
12,30.69,32.05,10.62,
13,30.69,32.05,10.62,
14,30.69,32.05,10.62,
15,30.69,32.05,10.62,
16,30.69,32.05,10.62,
17,30.69,32.05,10.62,
18,30.69,32.05,10.62,
19,30.69,32.05,10.62,
20,30.69,32.05,10.62,
21,30.69,32.05,10.62,
22,30.69,32.05,10.62,
23,30.69,32.05,10.62,
24,30.69,32.05,10.62,
25,30.69,32.05,10.62,
26,30.69,32.05,10.62,
27,30.69,32.05,10.62,
28,30.69,32.05,10.62,
29,30.69,32.05,10.62,
30,30.69,32.05,10.62,
31,30.69,32.05,10.62,
32,30.69,32.05,10.62,
33,30.69,32.05,10.62,
34,30.69,32.05,10.62,
35,30.69,32.05,10.62,
36,30.69,32.05,10.62,
37,30.69,32.05,10.62,
38,30.69,32.05,10.62,
39,30.69,32.05,10.62,
40,30.69,32.05,10.62,
41,30.69,32.05,10.62,
42,30.69,32.05,10.62,
43,30.69,32.05,10.62,
44,30.69,32.05,10.62,
45,30.69,32.05,10.62,
46,30.69,32.05,10.62,
47,30.69,32.05,10.62,
48,30.69,32.05,10.62,
49,30.69,32.05,10.62,
50,30.69,32.05,10.62,
51,30.69,32.05,10.62,
52,30.69,32.05,10.62,
53,30.69,32.05,10.62,
54,30.69,32.05,10.62,
55,30.69,32.05,10.62,
56,30.69,32.05,10.62,
57,30.69,32.05,10.62,
58,30.69,32.05,10.62,
59,30.69,32.05,10.62,
60,30.69,32.05,10.62,
61,30.69,32.05,10.62,
62,30.69,32.05,10.62,
63,30.69,32.05,10.62,
64,30.69,32.05,10.62,
65,30.69,32.05,10.62,
66,30.69,32.05,10.62,
67,30.69,32.05,10.62,
68,30.69,32.05,10.62,
69,30.69,32.05,10.62,
70,30.69,32.05,10.62,
71,30.69,32.05,10.62,
72,30.69,32.05,10.62,
73,30.69,32.05,10.62,
74,30.69,32.05,10.62,
75,30.69,32.05,10.62,
76,30.69,32.05,10.62,
77,30.69,32.05,10.62,
78,30.69,32.05,10.62,
79,30.69,32.05,10.62,
80,30.69,32.05,10.62,
81,30.69,32.05,10.62,
82,30.69,32.05,10.62,
83,30.69,32.05,10.62,
84,30.69,32.05,10.62,
85,30.69,32.05,10.62,
86,30.69,32.05,10.62,
