s.no,s.temp,o.temp,step
230,89.19,89.19,9.98
231,89.15,89.15,10.06
232,89.11,89.26,9.95
233,89.15,89.15,10.03
234,89.11,89.08,10.51
235,89.11,89.51,10
236,89.08,89.58,10
237,89.11,89.29,10.06
238,89.15,89.4,9.94
239,89.15,89.29,9.95
240,89.15,89.15,9.95
241,89.08,89.44,10.03
242,89.08,89.26,9.95
243,89.11,89.08,10
244,89.08,89.29,10.01
245,89.01,89.4,9.96
246,89.08,89.69,10.08
247,89.01,89.55,10.07
248,89.08,89.26,10.03
249,88.97,92.89,10.23
250,89.08,93.18,10.05
251,89.08,93.04,9.98
252,89.08,89.8,9.94
253,89.08,89.65,10.01
254,89.01,90.05,10.07
255,89.08,89.83,9.98
256,88.93,89.8,10.04
257,89.08,89.69,9.98
258,89.11,92.39,9.99
259,89.01,92.03,10.04
260,88.97,92.25,9.97
261,89.01,92.32,9.84
262,89.01,91.99,9.88
263,89.01,90.66,9.99
264,89.01,90.66,9.99
265,89.01,90.59,9.97
266,89.01,90.59,9.97
267,89.08,90.84,10.08
268,89.01,90.48,9.99
269,89.01,90.41,10.08
270,88.97,90.16,9.95
271,88.97,90.23,9.97
272,88.97,90.59,10
273,89.11,90.7,9.94
274,89.01,91.38,10.01
275,88.97,91.38,9.96
276,89.01,91.74,9.94
277,89.08,91.74,10.01
278,89.01,91.74,10
279,89.01,91.53,10
280,89.11,91.85,10.04
281,89.01,91.78,10
282,89.08,91.45,10.03
283,89.08,91.13,10.01
284,89.01,89.58,10.06
285,89.01,89.51,10.05
286,89.01,89.33,10.03
287,88.97,89.19,10.03
288,89.01,89.04,10
289,88.97,89.08,10.03
290,88.97,89.15,10
291,88.97,89.19,10.05
292,88.97,89.04,10
293,89.01,89.51,10.03
294,88.97,89.55,10
295,88.93,89.33,10.09
296,88.93,89.58,10
297,88.93,89.33,10.08
298,88.97,89.15,9.98
299,88.93,89.55,10.04
300,89.01,90.48,10.26
301,88.93,90.3,10.01
302,88.86,89.94,9.98
303,88.93,89.83,10.05
304,88.9,89.55,10.01
305,88.86,89.51,9.98
306,88.9,89.65,10.03
307,88.86,89.98,9.97
308,88.9,89.58,10.05
309,88.97,89.98,10.02
310,88.86,89.98,9.96
311,88.86,89.69,10
312,88.9,89.55,10.05
313,88.9,89.94,10.01
314,88.93,90.05,9.95
315,88.86,89.76,9.98
316,88.86,89.55,10.03
317,88.9,89.83,9.96
318,88.86,90.55,10.04
319,88.83,90.48,10.01
320,88.9,90.41,10.05
321,88.9,90.66,10.04
322,88.9,90.95,10.06
323,88.86,90.41,9.99
324,88.9,89.94,10
325,88.86,89.83,10.09
326,88.9,89.91,9.99
327,88.9,89.98,10.01
328,88.9,89.76,10.03
329,88.9,89.69,10
330,88.83,90.09,9.99
331,88.9,89.19,10.01
332,88.9,89.15,10
333,88.93,89.04,10.01
334,88.79,89.26,10.04
335,88.9,89.19,9.98
336,88.83,89.58,10.01
337,88.9,89.51,10.08
338,88.9,89.51,10.02
339,88.86,89.44,10.07
340,88.9,89.44,10.06
341,88.86,89.55,10.08
342,88.86,89.55,10.09
343,88.9,89.55,9.84
344,88.86,89.58,10.09
345,88.9,89.98,10.04
346,88.9,89.65,9.98
347,88.97,89.51,10
348,88.86,89.44,9.98
349,88.9,89.15,9.92
350,88.9,89.29,9.95
351,88.86,89.94,10.04
352,88.9,90.05,10.05
353,88.93,90.05,10.04
354,88.86,89.69,10.04
355,88.86,89.94,9.99
356,88.86,89.33,9.95
357,88.9,89.29,10.07
358,88.9,89.44,9.93
359,88.86,89.44,10
360,88.83,90.16,10.13
361,88.9,90.34,10.12
362,88.83,90.23,9.79
363,88.86,90.41,9.97
364,88.9,90.3,10.09
365,88.86,90.23,9.98
366,88.86,89.98,9.95
367,88.9,89.98,9.85
368,88.86,90.7,9.94
369,88.83,90.09,10
370,88.9,89.91,10.02
371,88.83,89.94,10
372,88.79,89.98,9.97
373,88.86,90.3,10.04
374,88.86,90.23,10.05
375,88.86,90.41,10
376,88.86,90.41,10.01
377,88.86,90.19,10.03
378,88.9,90.3,9.99
379,88.86,90.23,10.02
380,88.9,90.41,10.03
381,88.83,90.45,10.06
382,88.9,90.23,10.02
383,88.86,90.23,10.01
384,88.9,89.98,10.07
385,88.86,90.41,9.98
386,88.86,90.09,10.02
387,88.86,90.19,10.06
388,88.9,90.19,10.07
389,88.83,89.55,9.96
390,88.83,89.55,10.03
391,88.9,89.83,10.03
392,88.86,89.33,10
393,88.83,89.33,10.02
394,88.83,89.76,9.97
395,88.93,90.45,9.97
396,88.9,90.16,10.02
397,88.86,89.98,10.02
398,88.86,89.76,10.05
399,88.86,90.09,10.14
400,88.86,89.58,10.08
401,88.86,90.05,10.02
402,88.86,89.51,10.04
403,88.86,89.44,10.03
404,88.86,89.51,9.95
405,88.86,93.61,9.85
406,88.86,93.33,9.33
407,88.9,93.43,9.91
408,88.86,93.65,10.19
409,88.9,93.97,10.13
410,88.86,93.79,10.05
411,88.9,93.9,10.05
412,88.83,94.12,10.01
413,88.9,93.87,10.18
414,88.93,93.9,10.03
415,88.93,93.61,10.04
416,88.93,93.58,9.95
417,88.93,93.65,9.86
418,88.93,93.47,10.11
419,88.9,93.9,9.96
420,88.93,94.01,10.03
421,88.97,93.9,9.97
422,88.93,93.51,10.03
423,88.9,93.51,10.05
424,88.97,93.87,10.17
425,88.97,93.87,10.58
426,88.97,93.87,9.96
427,88.93,93.65,10.03
428,89.01,93.47,10.03
429,88.97,93.51,10.07
430,88.97,93.76,9.99
431,88.97,93.65,9.89
432,89.01,93.61,10.02
433,89.08,93.9,9.96
434,88.93,93.9,10.01
435,89.01,93.58,10.12
436,88.97,94.01,10.13
437,89.08,91.06,10.01
438,89.01,90.95,10.23
439,89.11,90.23,10.38
440,89.08,89.44,10.02
441,89.11,89.29,10.13
442,89.11,89.19,10.08
443,89.15,89.91,10.09
444,89.11,89.91,10.06
445,89.11,89.76,10.13
446,89.15,89.65,10.01
447,89.19,89.76,10
448,89.15,90.16,10.06
449,89.22,89.94,10.02
450,89.22,89.83,9.91
451,89.22,89.91,10.14
452,89.22,89.8,10.07
453,89.22,89.33,10.06
454,89.22,89.19,9.99
455,89.19,89.04,9.96
456,89.26,89.19,10.02
457,89.26,89.26,10.05
458,89.19,89.15,10.02
459,89.22,89.04,10.07
460,89.22,89.19,10.03
461,89.22,89.29,10.09
462,89.26,89.19,10.08
463,89.26,88.75,10.05
464,89.29,89.29,10.02
465,89.26,89.08,10.04
466,89.26,89.19,9.91
467,89.29,89.19,10.04
468,89.26,89.33,10.02
469,89.26,89.26,10.04
470,89.33,89.19,10.06
471,89.29,89.04,10
472,89.26,89.33,10.05
473,89.33,89.19,10.03
